Overriding config with config/finetune_tt7_5k.py:
import time

out_dir = 'out-shakespeare-char-4l8h-ft'
eval_interval = 250
eval_iters = 200
log_inerval = 10

wandb_log = False # feel free to turn on
wandb_project = 'ft7_5k-char'
wandb_run_name = 'ft-' + str(time.time())

dataset = 'tt_7_5k'
init_from = 'resume' # this is the largest GPT-2 model

# only save checkpoints if the validation loss improves
always_save_checkpoint = True

# the number of examples per iter:
# 1 batch_size * 32 grad_accum * 1024 tokens = 32,768 tokens/iter
# shakespeare has 301,966 tokens, so 1 epoch ~= 9.2 iters
batch_size = 64
gradient_accumulation_steps = 1
max_iters = 7500
block_size = 256

# finetune at constant LR
learning_rate = 1e-3
lr_decay_iters = 7500

min_lr = 1e-4
beta2 = 0.99

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/tt_7_5k/meta.pkl)
Resuming training from out-shakespeare-char-4l8h-ft
number of parameters: 7.11M
num decayed parameter tensors: 18, with 7,201,152 parameters
num non-decayed parameter tensors: 9, with 3,456 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 2250: train loss 2.8463, val loss 2.8701
saving checkpoint to out-shakespeare-char-4l8h-ft
iter 2250: loss 2.9150, time 16661.48ms, mfu -100.00%
iter 2251: loss 2.3262, time 101.95ms, mfu -100.00%
iter 2252: loss 2.2970, time 102.43ms, mfu -100.00%
iter 2253: loss 2.1544, time 74.93ms, mfu -100.00%
iter 2254: loss 2.0862, time 68.87ms, mfu -100.00%
iter 2255: loss 1.9868, time 71.70ms, mfu 3.47%
iter 2256: loss 1.9397, time 70.18ms, mfu 3.48%
iter 2257: loss 1.9205, time 71.62ms, mfu 3.48%
iter 2258: loss 1.8632, time 69.35ms, mfu 3.49%
iter 2259: loss 1.8728, time 71.55ms, mfu 3.49%
iter 2260: loss 1.8253, time 68.59ms, mfu 3.50%
iter 2261: loss 1.8219, time 68.28ms, mfu 3.51%
iter 2262: loss 1.8490, time 70.75ms, mfu 3.51%
iter 2263: loss 1.7795, time 69.91ms, mfu 3.52%
iter 2264: loss 1.7747, time 71.29ms, mfu 3.52%
iter 2265: loss 1.8435, time 68.63ms, mfu 3.53%
iter 2266: loss 1.7530, time 70.82ms, mfu 3.52%
iter 2267: loss 1.7778, time 69.23ms, mfu 3.53%
iter 2268: loss 1.7158, time 71.88ms, mfu 3.52%
iter 2269: loss 1.6967, time 70.31ms, mfu 3.53%
iter 2270: loss 1.7386, time 71.56ms, mfu 3.52%
iter 2271: loss 1.6883, time 70.53ms, mfu 3.52%
iter 2272: loss 1.6860, time 72.19ms, mfu 3.51%
iter 2273: loss 1.7246, time 70.04ms, mfu 3.52%
iter 2274: loss 1.6357, time 70.91ms, mfu 3.52%
iter 2275: loss 1.7008, time 68.59ms, mfu 3.53%
iter 2276: loss 1.6924, time 69.50ms, mfu 3.53%
iter 2277: loss 1.6394, time 69.73ms, mfu 3.54%
iter 2278: loss 1.6675, time 69.84ms, mfu 3.54%
iter 2279: loss 1.6057, time 70.16ms, mfu 3.54%
iter 2280: loss 1.6136, time 70.13ms, mfu 3.54%
iter 2281: loss 1.7017, time 71.42ms, mfu 3.53%
iter 2282: loss 1.6598, time 69.02ms, mfu 3.54%
iter 2283: loss 1.5750, time 72.20ms, mfu 3.53%
iter 2284: loss 1.6232, time 69.26ms, mfu 3.54%
iter 2285: loss 1.6038, time 72.37ms, mfu 3.53%
iter 2286: loss 1.5852, time 69.28ms, mfu 3.53%
iter 2287: loss 1.6173, time 71.39ms, mfu 3.53%
iter 2288: loss 1.6073, time 69.36ms, mfu 3.53%
iter 2289: loss 1.5786, time 71.09ms, mfu 3.53%
iter 2290: loss 1.5745, time 69.18ms, mfu 3.54%
iter 2291: loss 1.5705, time 71.03ms, mfu 3.53%
iter 2292: loss 1.5280, time 69.50ms, mfu 3.54%
iter 2293: loss 1.5381, time 69.42ms, mfu 3.54%
iter 2294: loss 1.5595, time 70.78ms, mfu 3.54%
iter 2295: loss 1.5561, time 68.95ms, mfu 3.55%
iter 2296: loss 1.5868, time 71.25ms, mfu 3.54%
iter 2297: loss 1.5985, time 69.94ms, mfu 3.54%
iter 2298: loss 1.5803, time 72.00ms, mfu 3.53%
iter 2299: loss 1.5926, time 69.78ms, mfu 3.54%
iter 2300: loss 1.5145, time 71.62ms, mfu 3.53%
iter 2301: loss 1.6002, time 69.69ms, mfu 3.53%
iter 2302: loss 1.5151, time 72.05ms, mfu 3.53%
iter 2303: loss 1.5417, time 70.26ms, mfu 3.53%
iter 2304: loss 1.5787, time 71.08ms, mfu 3.52%
iter 2305: loss 1.5626, time 70.27ms, mfu 3.53%
iter 2306: loss 1.5149, time 72.03ms, mfu 3.52%
iter 2307: loss 1.5234, time 70.37ms, mfu 3.52%
iter 2308: loss 1.5424, time 72.03ms, mfu 3.51%
iter 2309: loss 1.5718, time 70.52ms, mfu 3.51%
iter 2310: loss 1.5351, time 71.41ms, mfu 3.51%
iter 2311: loss 1.4967, time 69.74ms, mfu 3.52%
iter 2312: loss 1.5585, time 71.14ms, mfu 3.51%
iter 2313: loss 1.4757, time 68.93ms, mfu 3.52%
iter 2314: loss 1.5403, time 70.69ms, mfu 3.52%
iter 2315: loss 1.4832, time 70.34ms, mfu 3.52%
iter 2316: loss 1.4769, time 71.82ms, mfu 3.52%
iter 2317: loss 1.5095, time 71.09ms, mfu 3.52%
iter 2318: loss 1.4828, time 71.02ms, mfu 3.51%
iter 2319: loss 1.4702, time 71.19ms, mfu 3.51%
iter 2320: loss 1.5004, time 71.96ms, mfu 3.51%
iter 2321: loss 1.4862, time 70.34ms, mfu 3.51%
iter 2322: loss 1.4771, time 72.16ms, mfu 3.50%
iter 2323: loss 1.4827, time 69.90ms, mfu 3.51%
iter 2324: loss 1.5131, time 72.30ms, mfu 3.50%
iter 2325: loss 1.4831, time 70.49ms, mfu 3.50%
iter 2326: loss 1.5271, time 72.07ms, mfu 3.50%
iter 2327: loss 1.5103, time 69.60ms, mfu 3.51%
iter 2328: loss 1.5312, time 71.95ms, mfu 3.50%
iter 2329: loss 1.4642, time 69.67ms, mfu 3.51%
iter 2330: loss 1.4927, time 71.38ms, mfu 3.51%
iter 2331: loss 1.4731, time 69.31ms, mfu 3.51%
iter 2332: loss 1.4644, time 73.25ms, mfu 3.50%
iter 2333: loss 1.4813, time 70.69ms, mfu 3.50%
iter 2334: loss 1.5234, time 71.82ms, mfu 3.50%
iter 2335: loss 1.5317, time 69.58ms, mfu 3.51%
iter 2336: loss 1.4589, time 72.31ms, mfu 3.50%
