Overriding config with hw/2l8h/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char-2l8h'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 2
n_head = 8
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 3000
lr_decay_iters = 3000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 3.57M
num decayed parameter tensors: 10, with 3,662,208 parameters
num non-decayed parameter tensors: 5, with 1,920 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2456, val loss 4.2426
iter 0: loss 4.2555, time 9906.30ms, mfu -100.00%
iter 10: loss 3.3482, time 39.57ms, mfu 3.15%
iter 20: loss 2.9550, time 41.07ms, mfu 3.14%
iter 30: loss 2.6933, time 39.98ms, mfu 3.14%
iter 40: loss 2.5803, time 40.06ms, mfu 3.14%
iter 50: loss 2.5368, time 41.01ms, mfu 3.13%
iter 60: loss 2.4979, time 41.32ms, mfu 3.12%
iter 70: loss 2.4928, time 40.80ms, mfu 3.11%
iter 80: loss 2.4964, time 41.25ms, mfu 3.10%
iter 90: loss 2.4842, time 40.44ms, mfu 3.10%
iter 100: loss 2.4696, time 40.88ms, mfu 3.09%
iter 110: loss 2.4621, time 40.90ms, mfu 3.09%
iter 120: loss 2.4601, time 40.40ms, mfu 3.09%
iter 130: loss 2.4346, time 40.01ms, mfu 3.09%
iter 140: loss 2.4405, time 39.74ms, mfu 3.10%
iter 150: loss 2.4376, time 41.13ms, mfu 3.09%
iter 160: loss 2.4110, time 40.22ms, mfu 3.09%
iter 170: loss 2.3993, time 41.05ms, mfu 3.09%
iter 180: loss 2.3644, time 40.38ms, mfu 3.09%
iter 190: loss 2.3458, time 40.65ms, mfu 3.09%
iter 200: loss 2.3120, time 40.19ms, mfu 3.09%
iter 210: loss 2.2700, time 41.13ms, mfu 3.08%
iter 220: loss 2.2591, time 40.37ms, mfu 3.08%
iter 230: loss 2.1939, time 40.78ms, mfu 3.08%
iter 240: loss 2.1520, time 40.88ms, mfu 3.08%
step 250: train loss 2.0470, val loss 2.1527
saving checkpoint to out-shakespeare-char-2l8h
iter 250: loss 2.1090, time 5437.31ms, mfu 2.77%
iter 260: loss 2.0880, time 39.57ms, mfu 2.81%
iter 270: loss 2.0617, time 40.35ms, mfu 2.84%
iter 280: loss 2.0416, time 40.34ms, mfu 2.86%
iter 290: loss 2.0200, time 40.53ms, mfu 2.88%
iter 300: loss 1.9518, time 40.89ms, mfu 2.90%
iter 310: loss 1.9423, time 41.17ms, mfu 2.91%
iter 320: loss 1.8953, time 40.41ms, mfu 2.93%
iter 330: loss 1.8847, time 40.06ms, mfu 2.95%
iter 340: loss 1.8600, time 39.93ms, mfu 2.97%
iter 350: loss 1.8385, time 40.94ms, mfu 2.98%
iter 360: loss 1.8630, time 41.84ms, mfu 2.98%
iter 370: loss 1.8074, time 40.92ms, mfu 2.98%
iter 380: loss 1.8022, time 41.28ms, mfu 2.99%
iter 390: loss 1.8195, time 41.47ms, mfu 2.99%
iter 400: loss 1.8065, time 40.04ms, mfu 3.00%
iter 410: loss 1.7710, time 40.45ms, mfu 3.01%
iter 420: loss 1.7300, time 40.68ms, mfu 3.02%
iter 430: loss 1.7217, time 40.17ms, mfu 3.02%
iter 440: loss 1.7420, time 40.43ms, mfu 3.03%
iter 450: loss 1.7095, time 39.66ms, mfu 3.04%
iter 460: loss 1.7018, time 40.78ms, mfu 3.04%
iter 470: loss 1.6820, time 40.24ms, mfu 3.05%
iter 480: loss 1.6972, time 39.91ms, mfu 3.06%
iter 490: loss 1.6789, time 40.32ms, mfu 3.06%
step 500: train loss 1.5712, val loss 1.7647
saving checkpoint to out-shakespeare-char-2l8h
iter 500: loss 1.6828, time 4745.57ms, mfu 2.76%
iter 510: loss 1.6637, time 40.54ms, mfu 2.79%
iter 520: loss 1.6612, time 40.40ms, mfu 2.82%
iter 530: loss 1.6232, time 40.77ms, mfu 2.84%
iter 540: loss 1.6747, time 40.24ms, mfu 2.87%
iter 550: loss 1.5974, time 41.45ms, mfu 2.88%
iter 560: loss 1.6350, time 40.95ms, mfu 2.90%
iter 570: loss 1.6191, time 40.84ms, mfu 2.91%
iter 580: loss 1.6288, time 39.89ms, mfu 2.94%
iter 590: loss 1.5896, time 40.87ms, mfu 2.95%
iter 600: loss 1.6144, time 41.86ms, mfu 2.95%
iter 610: loss 1.6355, time 41.71ms, mfu 2.95%
iter 620: loss 1.5885, time 40.29ms, mfu 2.97%
iter 630: loss 1.5700, time 41.06ms, mfu 2.98%
iter 640: loss 1.5879, time 41.51ms, mfu 2.98%
iter 650: loss 1.5749, time 40.68ms, mfu 2.99%
iter 660: loss 1.5598, time 39.90ms, mfu 3.00%
iter 670: loss 1.5848, time 41.27ms, mfu 3.00%
iter 680: loss 1.5983, time 40.33ms, mfu 3.01%
iter 690: loss 1.5736, time 40.42ms, mfu 3.02%
iter 700: loss 1.5796, time 41.65ms, mfu 3.02%
iter 710: loss 1.5546, time 40.33ms, mfu 3.02%
iter 720: loss 1.5402, time 40.22ms, mfu 3.03%
iter 730: loss 1.5709, time 41.05ms, mfu 3.03%
iter 740: loss 1.5501, time 40.32ms, mfu 3.04%
step 750: train loss 1.4370, val loss 1.6614
saving checkpoint to out-shakespeare-char-2l8h
iter 750: loss 1.5157, time 4773.13ms, mfu 2.74%
iter 760: loss 1.5568, time 40.43ms, mfu 2.77%
iter 770: loss 1.5203, time 40.36ms, mfu 2.80%
iter 780: loss 1.5449, time 41.10ms, mfu 2.83%
iter 790: loss 1.5487, time 41.15ms, mfu 2.85%
iter 800: loss 1.5304, time 39.68ms, mfu 2.88%
iter 810: loss 1.5187, time 40.60ms, mfu 2.90%
