Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2649, time 36181.31ms, mfu -100.00%
iter 10: loss 3.2438, time 105.29ms, mfu 3.54%
iter 20: loss 2.7899, time 106.08ms, mfu 3.54%
iter 30: loss 2.6383, time 106.37ms, mfu 3.53%
iter 40: loss 2.5763, time 104.37ms, mfu 3.54%
iter 50: loss 2.5261, time 104.99ms, mfu 3.54%
iter 60: loss 2.5136, time 104.18ms, mfu 3.54%
iter 70: loss 2.4921, time 107.01ms, mfu 3.54%
iter 80: loss 2.4932, time 105.98ms, mfu 3.53%
iter 90: loss 2.4696, time 104.77ms, mfu 3.54%
iter 100: loss 2.4526, time 105.93ms, mfu 3.53%
iter 110: loss 2.4543, time 106.53ms, mfu 3.53%
iter 120: loss 2.4223, time 105.30ms, mfu 3.53%
iter 130: loss 2.4059, time 104.47ms, mfu 3.54%
iter 140: loss 2.3925, time 106.27ms, mfu 3.53%
iter 150: loss 2.4098, time 106.21ms, mfu 3.53%
iter 160: loss 2.3675, time 105.88ms, mfu 3.53%
iter 170: loss 2.3382, time 108.34ms, mfu 3.52%
iter 180: loss 2.3011, time 106.22ms, mfu 3.52%
iter 190: loss 2.2278, time 107.45ms, mfu 3.51%
iter 200: loss 2.2004, time 107.14ms, mfu 3.51%
iter 210: loss 2.1244, time 107.52ms, mfu 3.51%
iter 220: loss 2.1338, time 108.04ms, mfu 3.50%
iter 230: loss 2.0709, time 116.38ms, mfu 3.47%
iter 240: loss 2.0742, time 106.46ms, mfu 3.47%
step 250: train loss 1.9616, val loss 2.0647
saving checkpoint to out-shakespeare-char
iter 250: loss 2.0277, time 13963.38ms, mfu 3.13%
iter 260: loss 1.9685, time 107.37ms, mfu 3.16%
iter 270: loss 1.9776, time 107.96ms, mfu 3.19%
iter 280: loss 1.9798, time 107.70ms, mfu 3.22%
iter 290: loss 1.9237, time 109.95ms, mfu 3.24%
iter 300: loss 1.8944, time 108.27ms, mfu 3.26%
iter 310: loss 1.8637, time 107.55ms, mfu 3.28%
iter 320: loss 1.8569, time 107.14ms, mfu 3.30%
iter 330: loss 1.8088, time 108.64ms, mfu 3.31%
iter 340: loss 1.7812, time 107.69ms, mfu 3.33%
iter 350: loss 1.8272, time 110.87ms, mfu 3.33%
iter 360: loss 1.7745, time 107.77ms, mfu 3.34%
iter 370: loss 1.7414, time 121.84ms, mfu 3.31%
iter 380: loss 1.7304, time 114.28ms, mfu 3.31%
iter 390: loss 1.7372, time 111.90ms, mfu 3.31%
iter 400: loss 1.7640, time 108.24ms, mfu 3.32%
iter 410: loss 1.6959, time 111.18ms, mfu 3.33%
iter 420: loss 1.7088, time 110.22ms, mfu 3.33%
iter 430: loss 1.6815, time 111.03ms, mfu 3.33%
iter 440: loss 1.6462, time 109.84ms, mfu 3.34%
iter 450: loss 1.6511, time 112.13ms, mfu 3.34%
iter 460: loss 1.6024, time 111.50ms, mfu 3.34%
iter 470: loss 1.6554, time 111.86ms, mfu 3.34%
iter 480: loss 1.6165, time 110.76ms, mfu 3.34%
iter 490: loss 1.6016, time 111.71ms, mfu 3.34%
step 500: train loss 1.5285, val loss 1.7362
saving checkpoint to out-shakespeare-char
iter 500: loss 1.6016, time 12414.51ms, mfu 3.01%
iter 510: loss 1.6162, time 110.00ms, mfu 3.05%
iter 520: loss 1.6020, time 113.08ms, mfu 3.07%
iter 530: loss 1.5657, time 112.75ms, mfu 3.10%
iter 540: loss 1.6203, time 110.99ms, mfu 3.12%
iter 550: loss 1.5671, time 111.05ms, mfu 3.14%
iter 560: loss 1.5651, time 110.95ms, mfu 3.17%
iter 570: loss 1.5745, time 110.85ms, mfu 3.19%
iter 580: loss 1.5401, time 109.82ms, mfu 3.21%
iter 590: loss 1.5016, time 111.14ms, mfu 3.22%
iter 600: loss 1.5180, time 110.84ms, mfu 3.24%
iter 610: loss 1.5552, time 111.93ms, mfu 3.24%
iter 620: loss 1.5292, time 110.41ms, mfu 3.26%
iter 630: loss 1.5179, time 111.06ms, mfu 3.27%
iter 640: loss 1.4779, time 110.95ms, mfu 3.28%
iter 650: loss 1.5043, time 113.16ms, mfu 3.28%
iter 660: loss 1.5145, time 111.67ms, mfu 3.28%
iter 670: loss 1.4491, time 111.36ms, mfu 3.29%
iter 680: loss 1.5118, time 114.45ms, mfu 3.29%
iter 690: loss 1.4611, time 110.98ms, mfu 3.29%
iter 700: loss 1.4802, time 114.21ms, mfu 3.29%
iter 710: loss 1.4568, time 114.55ms, mfu 3.29%
iter 720: loss 1.4481, time 111.12ms, mfu 3.29%
iter 730: loss 1.4214, time 115.77ms, mfu 3.29%
iter 740: loss 1.4311, time 112.71ms, mfu 3.29%
step 750: train loss 1.3611, val loss 1.5957
saving checkpoint to out-shakespeare-char
iter 750: loss 1.4226, time 12915.86ms, mfu 2.96%
iter 760: loss 1.4461, time 114.86ms, mfu 2.99%
iter 770: loss 1.4283, time 115.42ms, mfu 3.01%
iter 780: loss 1.4123, time 115.75ms, mfu 3.03%
iter 790: loss 1.4221, time 112.85ms, mfu 3.06%
iter 800: loss 1.4286, time 117.13ms, mfu 3.07%
iter 810: loss 1.4068, time 112.72ms, mfu 3.10%
iter 820: loss 1.4105, time 114.32ms, mfu 3.11%
