Overriding config with config/train_tt500.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-tt500'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'tt500-char'
wandb_run_name = 'mini-gpt'

dataset = 'tt_500'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 10
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 113 (inside data/tt_500/meta.pkl)
Initializing a new model from scratch
number of parameters: 17.75M
num decayed parameter tensors: 42, with 17,836,416 parameters
num non-decayed parameter tensors: 21, with 8,064 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.6851, val loss 4.6964
iter 0: loss 4.7111, time 34501.17ms, mfu -100.00%
iter 10: loss 3.3568, time 189.29ms, mfu 3.28%
iter 20: loss 2.9624, time 194.52ms, mfu 3.27%
iter 30: loss 2.7445, time 195.74ms, mfu 3.26%
iter 40: loss 2.6672, time 197.98ms, mfu 3.25%
iter 50: loss 2.6082, time 194.81ms, mfu 3.24%
iter 60: loss 2.5800, time 194.11ms, mfu 3.24%
iter 70: loss 2.5897, time 198.02ms, mfu 3.23%
iter 80: loss 2.5896, time 197.34ms, mfu 3.22%
iter 90: loss 2.6028, time 195.26ms, mfu 3.22%
iter 100: loss 2.5588, time 195.90ms, mfu 3.21%
iter 110: loss 2.5568, time 199.09ms, mfu 3.20%
iter 120: loss 2.5603, time 196.49ms, mfu 3.20%
iter 130: loss 2.5419, time 194.08ms, mfu 3.20%
iter 140: loss 2.5421, time 194.94ms, mfu 3.20%
iter 150: loss 2.5132, time 190.54ms, mfu 3.20%
iter 160: loss 2.5211, time 193.03ms, mfu 3.21%
iter 170: loss 2.4783, time 191.39ms, mfu 3.21%
iter 180: loss 2.4699, time 191.74ms, mfu 3.21%
iter 190: loss 2.4046, time 188.32ms, mfu 3.22%
iter 200: loss 2.3817, time 190.47ms, mfu 3.22%
iter 210: loss 2.2954, time 191.60ms, mfu 3.23%
iter 220: loss 2.2866, time 188.37ms, mfu 3.23%
iter 230: loss 2.2497, time 185.78ms, mfu 3.24%
iter 240: loss 2.2131, time 183.93ms, mfu 3.26%
step 250: train loss 2.1080, val loss 2.4319
saving checkpoint to out-tt500
iter 250: loss 2.1664, time 22423.47ms, mfu 2.93%
iter 260: loss 2.1481, time 189.20ms, mfu 2.97%
iter 270: loss 2.1109, time 186.43ms, mfu 3.01%
iter 280: loss 2.0839, time 185.40ms, mfu 3.04%
iter 290: loss 2.0427, time 190.30ms, mfu 3.06%
iter 300: loss 2.0255, time 183.31ms, mfu 3.10%
iter 310: loss 1.9910, time 189.44ms, mfu 3.11%
iter 320: loss 1.9192, time 192.30ms, mfu 3.13%
iter 330: loss 1.9223, time 192.66ms, mfu 3.13%
iter 340: loss 1.8773, time 189.19ms, mfu 3.15%
iter 350: loss 1.8929, time 192.96ms, mfu 3.16%
iter 360: loss 1.8384, time 193.49ms, mfu 3.16%
iter 370: loss 1.7919, time 193.43ms, mfu 3.17%
iter 380: loss 1.7595, time 194.67ms, mfu 3.17%
iter 390: loss 1.7602, time 190.86ms, mfu 3.18%
iter 400: loss 1.6741, time 192.64ms, mfu 3.18%
iter 410: loss 1.6593, time 191.51ms, mfu 3.19%
iter 420: loss 1.6633, time 195.08ms, mfu 3.19%
iter 430: loss 1.5900, time 192.88ms, mfu 3.19%
iter 440: loss 1.5365, time 192.73ms, mfu 3.19%
iter 450: loss 1.5088, time 188.22ms, mfu 3.20%
iter 460: loss 1.4564, time 187.09ms, mfu 3.22%
iter 470: loss 1.4367, time 189.31ms, mfu 3.22%
iter 480: loss 1.3729, time 188.56ms, mfu 3.23%
iter 490: loss 1.4065, time 193.67ms, mfu 3.23%
step 500: train loss 1.0385, val loss 2.5073
iter 500: loss 1.3049, time 19111.18ms, mfu 2.91%
iter 510: loss 1.2461, time 184.43ms, mfu 2.95%
iter 520: loss 1.2008, time 187.77ms, mfu 2.99%
iter 530: loss 1.1511, time 192.05ms, mfu 3.01%
iter 540: loss 1.1030, time 190.89ms, mfu 3.04%
iter 550: loss 1.0529, time 186.42ms, mfu 3.07%
iter 560: loss 1.0294, time 188.30ms, mfu 3.09%
iter 570: loss 0.9579, time 186.96ms, mfu 3.11%
iter 580: loss 0.9519, time 184.93ms, mfu 3.14%
iter 590: loss 0.9182, time 190.63ms, mfu 3.15%
iter 600: loss 0.8651, time 188.56ms, mfu 3.16%
iter 610: loss 0.7809, time 191.70ms, mfu 3.17%
iter 620: loss 0.7319, time 186.30ms, mfu 3.19%
iter 630: loss 0.7238, time 191.51ms, mfu 3.19%
iter 640: loss 0.6746, time 193.28ms, mfu 3.20%
iter 650: loss 0.6952, time 190.42ms, mfu 3.20%
iter 660: loss 0.6059, time 185.91ms, mfu 3.22%
iter 670: loss 0.5958, time 186.79ms, mfu 3.23%
iter 680: loss 0.5598, time 189.95ms, mfu 3.23%
iter 690: loss 0.5248, time 190.84ms, mfu 3.23%
iter 700: loss 0.4997, time 184.15ms, mfu 3.25%
iter 710: loss 0.4629, time 192.46ms, mfu 3.25%
iter 720: loss 0.4198, time 193.76ms, mfu 3.24%
iter 730: loss 0.4306, time 192.99ms, mfu 3.24%
iter 740: loss 0.4185, time 188.81ms, mfu 3.24%
step 750: train loss 0.1565, val loss 3.6785
iter 750: loss 0.3813, time 19141.02ms, mfu 2.92%
iter 760: loss 0.3827, time 190.47ms, mfu 2.96%
iter 770: loss 0.3629, time 193.59ms, mfu 2.98%
iter 780: loss 0.3390, time 193.37ms, mfu 3.00%
iter 790: loss 0.3260, time 187.51ms, mfu 3.04%
iter 800: loss 0.3115, time 190.73ms, mfu 3.06%
iter 810: loss 0.3055, time 186.52ms, mfu 3.08%
iter 820: loss 0.3048, time 195.41ms, mfu 3.09%
iter 830: loss 0.2917, time 189.42ms, mfu 3.11%
iter 840: loss 0.2712, time 185.97ms, mfu 3.14%
