Overriding config with config/train_tt5k.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-tt5k'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'tt5k-char'
wandb_run_name = 'mini-gpt'

dataset = 'tt_5k'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 10
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 187 (inside data/tt_5k/meta.pkl)
Initializing a new model from scratch
number of parameters: 17.77M
num decayed parameter tensors: 42, with 17,864,832 parameters
num non-decayed parameter tensors: 21, with 8,064 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 5.3012, val loss 5.3001
iter 0: loss 5.3092, time 34325.36ms, mfu -100.00%
iter 10: loss 3.7208, time 187.28ms, mfu 3.32%
iter 20: loss 3.1772, time 192.48ms, mfu 3.31%
iter 30: loss 2.8934, time 191.24ms, mfu 3.31%
iter 40: loss 2.7672, time 191.45ms, mfu 3.30%
iter 50: loss 2.6936, time 189.82ms, mfu 3.30%
iter 60: loss 2.6281, time 191.89ms, mfu 3.29%
iter 70: loss 2.6346, time 192.58ms, mfu 3.29%
iter 80: loss 2.6328, time 195.11ms, mfu 3.28%
iter 90: loss 2.6508, time 197.24ms, mfu 3.26%
iter 100: loss 2.5960, time 196.79ms, mfu 3.25%
iter 110: loss 2.5882, time 194.81ms, mfu 3.25%
iter 120: loss 2.6035, time 193.30ms, mfu 3.24%
iter 130: loss 2.6001, time 191.77ms, mfu 3.24%
iter 140: loss 2.5874, time 193.33ms, mfu 3.24%
iter 150: loss 2.5764, time 194.62ms, mfu 3.24%
iter 160: loss 2.5731, time 194.86ms, mfu 3.23%
iter 170: loss 2.5384, time 191.21ms, mfu 3.23%
iter 180: loss 2.5537, time 190.07ms, mfu 3.24%
iter 190: loss 2.5451, time 191.25ms, mfu 3.24%
iter 200: loss 2.5236, time 190.60ms, mfu 3.24%
iter 210: loss 2.4802, time 185.39ms, mfu 3.25%
iter 220: loss 2.4157, time 188.96ms, mfu 3.26%
iter 230: loss 2.3804, time 189.96ms, mfu 3.26%
iter 240: loss 2.3490, time 189.41ms, mfu 3.26%
step 250: train loss 2.2631, val loss 2.2804
saving checkpoint to out-tt5k
iter 250: loss 2.3433, time 22643.66ms, mfu 2.94%
iter 260: loss 2.2910, time 191.69ms, mfu 2.97%
iter 270: loss 2.2518, time 189.17ms, mfu 3.00%
iter 280: loss 2.2249, time 188.26ms, mfu 3.03%
iter 290: loss 2.2551, time 185.91ms, mfu 3.06%
iter 300: loss 2.1883, time 191.91ms, mfu 3.08%
iter 310: loss 2.1941, time 188.75ms, mfu 3.10%
iter 320: loss 2.1598, time 194.78ms, mfu 3.11%
iter 330: loss 2.1674, time 190.76ms, mfu 3.13%
iter 340: loss 2.1001, time 194.44ms, mfu 3.13%
iter 350: loss 2.0842, time 190.35ms, mfu 3.15%
iter 360: loss 2.0887, time 195.37ms, mfu 3.15%
iter 370: loss 2.0937, time 189.96ms, mfu 3.16%
iter 380: loss 2.1074, time 187.50ms, mfu 3.18%
iter 390: loss 2.0495, time 190.41ms, mfu 3.19%
iter 400: loss 2.0694, time 191.72ms, mfu 3.19%
iter 410: loss 2.0290, time 193.17ms, mfu 3.20%
iter 420: loss 2.0105, time 190.56ms, mfu 3.20%
iter 430: loss 1.9993, time 192.48ms, mfu 3.21%
iter 440: loss 2.0107, time 186.50ms, mfu 3.22%
iter 450: loss 2.0088, time 191.01ms, mfu 3.22%
iter 460: loss 2.0063, time 191.46ms, mfu 3.22%
iter 470: loss 1.9062, time 192.56ms, mfu 3.23%
iter 480: loss 1.9596, time 189.13ms, mfu 3.23%
iter 490: loss 1.9202, time 189.78ms, mfu 3.24%
step 500: train loss 1.8296, val loss 1.9083
saving checkpoint to out-tt5k
iter 500: loss 1.9137, time 20666.28ms, mfu 2.92%
iter 510: loss 1.9221, time 187.81ms, mfu 2.96%
iter 520: loss 1.8939, time 191.01ms, mfu 2.99%
iter 530: loss 1.9100, time 189.27ms, mfu 3.02%
iter 540: loss 1.8942, time 186.87ms, mfu 3.05%
iter 550: loss 1.8619, time 189.66ms, mfu 3.07%
iter 560: loss 1.9066, time 185.32ms, mfu 3.10%
iter 570: loss 1.8425, time 190.02ms, mfu 3.12%
iter 580: loss 1.8280, time 190.64ms, mfu 3.13%
iter 590: loss 1.8345, time 188.60ms, mfu 3.15%
iter 600: loss 1.8211, time 190.91ms, mfu 3.16%
iter 610: loss 1.8601, time 190.89ms, mfu 3.17%
iter 620: loss 1.8202, time 188.95ms, mfu 3.18%
iter 630: loss 1.8266, time 192.03ms, mfu 3.19%
iter 640: loss 1.7962, time 188.81ms, mfu 3.20%
iter 650: loss 1.7998, time 183.91ms, mfu 3.22%
iter 660: loss 1.7529, time 189.73ms, mfu 3.22%
iter 670: loss 1.7842, time 192.74ms, mfu 3.22%
iter 680: loss 1.7408, time 191.23ms, mfu 3.23%
iter 690: loss 1.7397, time 192.90ms, mfu 3.23%
iter 700: loss 1.7665, time 189.75ms, mfu 3.23%
iter 710: loss 1.7068, time 188.46ms, mfu 3.24%
iter 720: loss 1.6897, time 191.19ms, mfu 3.24%
iter 730: loss 1.7730, time 188.80ms, mfu 3.24%
iter 740: loss 1.6936, time 190.47ms, mfu 3.25%
step 750: train loss 1.6006, val loss 1.7424
saving checkpoint to out-tt5k
iter 750: loss 1.6680, time 20643.45ms, mfu 2.93%
iter 760: loss 1.7032, time 190.91ms, mfu 2.96%
iter 770: loss 1.6809, time 190.83ms, mfu 2.99%
iter 780: loss 1.6958, time 192.35ms, mfu 3.01%
iter 790: loss 1.7296, time 191.33ms, mfu 3.04%
iter 800: loss 1.6970, time 191.20ms, mfu 3.06%
iter 810: loss 1.6658, time 190.41ms, mfu 3.08%
iter 820: loss 1.6304, time 190.07ms, mfu 3.10%
iter 830: loss 1.6086, time 190.33ms, mfu 3.12%
